Old difficulty,New difficulty,Block height
543366935262724.206554272200000,1200840926930620.49648494156200000,336
1200840926930620.49648494156200000,828580239582128.1425746096777800000,1397
828580239582128.1425746096777800000,836866041977949.424000355774557800000,5326
836866041977949.424000355774557800000,778285419039492.96432033087033875400000,6323
778285419039492.96432033087033875400000,684891168754753.8086018911658981035200000,7866
