Old difficulty,New difficulty,Block height
543366935262724.206554272200000,2173467741050896.82621708880000000,2016
2173467741050896.82621708880000000,3825303224249578.4141420762880000000,4032
3825303224249578.4141420762880000000,4590363869099494.096970491545600000000,6048
4590363869099494.096970491545600000000,5416629365537403.03442518002380800000000,8064
