no. nodes_block,stale block rate (simblock),mean propagation time,mean propagation time 50%,median propagation time,number of orphan (mine),total block propagation time,average block interval,blocktime std dev,difficulty std dev,Simulation type,,,,,,,,
1591965,176,19063.0498,6424.7148,17005.5,441,1.91E+08,246.4306331,307,2.34E+15,,,,,,,,,
1707575,189,19211.7067,6462.43,16994,467,1.92E+08,235.8118424,293,1.78E+15,,,,,,,,,
1517064,168,18796.7991,6432.5913,16813.5,381,1.88E+08,253.5102398,318,1.79E+15,,,,,,,,,
1447896,160,19070.7675,6440.7773,17055,422,1.91E+08,254.3471767,325,1.80E+15,,,,,,,,,
1832486,203,19121.3154,6455.4337,17100.5,461,1.91E+08,244.5480612,303,1.73E+15,,,,,,,,,182.4
1520113,168,19076.3677,6431.5974,17055,417,1.91E+08,253.4178064,321,1.87E+15,,,,,,,,,
1615418,179,19108.3603,6446.4432,17155,438,1.91E+08,238.4902396,305,1.85E+15,,,,,,,,,
1535759,170,19179.0932,6430.7851,17087,437,1.92E+08,251.1788033,322,1.80E+15,,,,,,,,,
1730288,192,19127.8814,6459.475,17039.5,454,1.91E+08,251.639985,316,1.79E+15,,,,,,,,,
1734632,192,19199.7046,6462.5562,17023,458,1.92E+08,243.2740006,301,1.73E+15,,,,,,,,,
1536472,170,19199.6122,6445.188,17063,440,1.92E+08,234.1161942,292,1.74E+15,,,,,,,,,
1577504,175,19319.3606,6449.7706,17385.5,433,1.93E+08,251.0213725,329,1.86E+15,,,,,,,,,
1762655,195,19083.9024,6458.6085,16836,459,1.91E+08,242.2525202,306,1.81E+15,,,,,,,,,
1657418,184,19141.3889,6457.5577,17227,432,1.91E+08,245.9423725,308,1.88E+15,,,,,,,,,
1658319,184,18784.7717,6446.8135,16888.5,412,1.88E+08,253.2340729,320,1.76E+15,,,,,,,,,
1519664,168,19204.9513,6447.9989,17144,423,1.92E+08,247.4529928,307,1.81E+15,,,,,,,,,
4858830,539,20991.391,6731.0176,17311.5,1317,2.10E+08,80.4756741,94,1.99E+14,(fixed difficulty interval_ga_with hash rate change_),,,,,98.4,,,
5729130,636,21533.2169,6813.0323,17222,1596,2.15E+08,81.4096988,97,2.50E+14,,,,,,,,,
7373779,819,22260.6897,6930.3539,17047.5,2054,2.23E+08,75.3822436,97,2.87E+14,,,,,,,,,
4982143,553,20875.4628,6742.3834,17067.5,1344,2.09E+08,81.4756196,96,2.31E+14,,,,,,,2.36E+14,6759.91814,
3093583,343,20014.4901,6582.8035,17211,853,2.00E+08,100.001047,108,2.12E+14,,,,,,,,,
15672743,1741,33237.689,7577.4056,17047.5,4687,3.32E+08,68.0372588,94,2.98E+14,,,,,,,,,
5420647,602,21238.3751,6749.6651,17129.5,1492,2.12E+08,75.7377357,91,2.25E+14,,,,,,,,,
4620354,513,20521.8518,6718.3113,16979,1152,2.05E+08,81.2642891,93,2.08E+14,,,,,,,,,
2993277,332,19705.6451,6563.6846,16925,813,1.97E+08,100.277407,121,1.38E+14,,,,,,,,,
3278079,364,20328.7258,6578.7307,17557.5,887,2.03E+08,95.0455328,101,1.86E+14,,,,,,,,,
3289765,365,19925.4122,6593.7113,17003,925,1.99E+08,93.0266149,100,1.73E+14,,,,,,,,,
18444674,2049,36084.7464,7805.6658,17098,5522,3.61E+08,62.0643372,93,3.05E+14,,,,,,,,,
4411528,490,20617.2023,6690.2441,17127,1184,2.06E+08,82.8419693,94,1.74E+14,,,,,,,,,
2693080,299,19258.9897,6535.9682,16829,706,1.93E+08,108.5555903,108,1.31E+14,,,,,,,,,
2363465,262,19486.4661,6524.8974,17047,650,1.95E+08,109.9755724,107,1.43E+14,,,,,,,,,
9136872,1015,23370.1881,7111.3475,17268.5,2519,2.34E+08,68.7738731,94,2.84E+14,,,,,,,,,
4061980,451,20604.2607,6658.0838,17368.5,1120,2.06E+08,86.3496767,97,1.83E+14,,,,,,,,,
8210817,912,22783.8699,7005.4208,16911,2348,2.28E+08,69.3891843,88,2.61E+14,,,,,,,,,
6425203,713,22056.8591,6876.9727,17140.5,1892,2.21E+08,81.3633576,98,2.72E+14,,,,,,,,,
3223478,358,20166.3118,6597.4477,17207,928,2.02E+08,99.7209864,107,1.99E+14,,,,,,,,,
